subject,predicate,object
http://www.wikidata.org/entity/Q126499565,http://www.wikidata.org/prop/direct/P11693,11973631439
http://www.wikidata.org/entity/Q1069807,http://www.wikidata.org/prop/direct/P17,http://www.wikidata.org/entity/Q43
http://www.wikidata.org/entity/Q1069807,http://www.wikidata.org/prop/direct/P18,http://commons.wikimedia.org/wiki/Special:FilePath/SaintMaryOfBlachernae20072612%2001.jpg
http://www.wikidata.org/entity/Q1069807,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q16970
http://www.wikidata.org/entity/Q1069807,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q1371047
http://www.wikidata.org/entity/Q1069807,http://www.wikidata.org/prop/direct/P31,http://www.wikidata.org/entity/Q2031836
http://www.wikidata.org/entity/Q1069807,http://www.wikidata.org/prop/direct/P131,http://www.wikidata.org/entity/Q732923
http://www.wikidata.org/entity/Q1069807,http://www.wikidata.org/prop/direct/P131,http://www.wikidata.org/entity/Q3631397
http://www.wikidata.org/entity/Q1069807,http://www.wikidata.org/prop/direct/P138,http://www.wikidata.org/entity/Q345
http://www.wikidata.org/entity/Q1069807,http://www.wikidata.org/prop/direct/P140,http://www.wikidata.org/entity/Q7970362
http://www.wikidata.org/entity/Q1069807,http://www.wikidata.org/prop/direct/P149,http://www.wikidata.org/entity/Q47591
http://www.wikidata.org/entity/Q1069807,http://www.wikidata.org/prop/direct/P214,164763648
http://www.wikidata.org/entity/Q1069807,http://www.wikidata.org/prop/direct/P244,no2011013257
http://www.wikidata.org/entity/Q1069807,http://www.wikidata.org/prop/direct/P373,Church of St. Mary of Blachernae (Istanbul)
http://www.wikidata.org/entity/Q1069807,http://www.wikidata.org/prop/direct/P571,0401-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1069807,http://www.wikidata.org/prop/direct/P576,1434-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1069807,http://www.wikidata.org/prop/direct/P625,Point(28.9425 41.0383)
http://www.wikidata.org/entity/Q1069807,http://www.wikidata.org/prop/direct/P646,/m/04f2wyr
http://www.wikidata.org/entity/Q1069807,http://www.wikidata.org/prop/direct/P706,http://www.wikidata.org/entity/Q155583
http://www.wikidata.org/entity/Q1069807,http://www.wikidata.org/prop/direct/P825,http://www.wikidata.org/entity/Q345
http://www.wikidata.org/entity/Q1069807,http://www.wikidata.org/prop/direct/P1017,ADV12649447
http://www.wikidata.org/entity/Q1069807,http://www.wikidata.org/prop/direct/P2596,http://www.wikidata.org/entity/Q3441232
http://www.wikidata.org/entity/Q1069807,http://www.wikidata.org/prop/direct/P5816,http://www.wikidata.org/entity/Q56557591
http://www.wikidata.org/entity/Q1069807,http://www.wikidata.org/prop/direct/P8034,494/26494
http://www.wikidata.org/entity/Q1069807,http://www.wikidata.org/prop/direct/P10689,329233993
http://www.wikidata.org/entity/Q1069807,http://www.wikidata.org/prop/direct/P11729,195325
http://www.wikidata.org/entity/Q1069807,http://www.wikidata.org/prop/direct/P11729,8569
