Q-code,Label
Q130314367,Mooncoin
Q130323519,"John J. Dunleavy: A Short History of Paulstown, 2007"
Q130323783,"Oxford Archaeology: Newtown Jerpoint County Kilkenny, Heritage Conservation Plan 11, 2007"
Q130323815,Hunt Estate map of c. 1780
Q130352573,Q130352573
Q130356838,May Sparks: Lowergrange: Its Mass Bush and Holy Well
Q130361231,Tullaherin Holy Well
Q130362406,Q130362406
Q130362725,Q130362725
Q130372700,Q130372700
Q130377925,Q130377925
Q130378020,Q130378020
Q130378225,Q130378225
Q130378388,Q130378388
Q130386158,Q130386158
Q130386655,Q130386655
Q130393656,"P. O'Leary: Ullard Illustrated (Read at Meeting of Antiquaries, May 3rd, 1911)"
Q130458689,"Ronald P. Larkin: The Road to Knockeenbaun covering the Three Ancient Parishes of Kilmanagh, Killaloe and Ballycallan Diocese of Ossory County Kilkenny, Kilmanagh 2002"
Q130471945,"May Sparks and Eric Bligh: Kilkenny Pen and Picture Pages of Its Story, Kilkenny, 1926"
Q130479296,Q130479296
Q130479429,Saint Declan's Well
Q130485663,"John Keane: Hidden Kilkenny - Knaves, Knights and Norman Abbots, Cork 2013."
Q130486611,"Pádraig Ó Riain: A Dictionary of Irish Saints, Dublin 2011"
Q130531018,Mochuille of Dresnaidh
Q130531057,Modhomhnóg Oilthir
Q130535426,Ríoghnach of Kilrainy
Q130535583,Cuán of Kilcoan
Q130535684,Senán of Laraghbryan
Q130535806,Bearchán of Drumlohan
Q130535826,Náile of Kinawley
Q130536454,"Desmond McCheane: We Grew Up Around Freshford, Freshford 1982"
Q130549605,Colmán of Connahy
Q130634563,"John Joyce, Graiguenamanagh: A Varied Heritage, Graiguenamanagh 2009"
Q131105676,Q131105676
Q131144233,Q131144233
Q131153110,Liber primus Kilkenniensis
Q131192390,"Margaret Quinlan/ Timothy Foley: Saint Lachtain’s Church, Freshford, County Kilkenny. Conservation Plan (The Heritage Council, 2004)"
Q131192961,Q131192961
Q131395980,"Máire B de Paor: Saint Moling Luachra, Dublin 2001"
Q131396044,St. Moling's Well
Q13147,skull
Q131625819,"Shaun Gallagher/ Mary McDaid: Canice: Saint of the Roe Valley, Derry 2000"
Q131625906,St Lowry's Well
Q132241,festival
Q132539,rosary
Q132817615,"Survey of Holy Wells County Kilkenny Phase 1 and Phase 2. A report prepared for Kilkenny County Council Heritage Office as an action of the  Kilkenny Heritage Plan, 2024"
Q132819215,Tober Keeran
Q132853265,Grove holy well
Q132889275,Kellymount Holy Well
Q132889388,Fr. Cloney's Well
Q132891725,Glencoum Holy Well
Q132891751,St. Sylvester's Well
Q132891782,Q132891782
Q133258128,Q133258128
Q133258302,St. Dallan's Well
Q133260886,Q133260886
Q133260965,Canal Walk Well
Q133263165,Q133263165
Q133385130,"Mary O'Shea: Templeorum Church 1814-2014. A Study from pre-historic to 21st century of a rural area in south county Kilkenny, Raheen 2014"
Q133454946,Sunday after August 13th
Q133455066,St. Luke's Well (Mullenbeg)
Q133520241,"Jim Walsh: Sliabh Rua - A History of its People and Places, Kildare 2001."
Q133567306,Tobernaleibe
Q133575033,1946 Ordnance Survey map series of County Kilkenny
Q133704,Martin of Tours
Q133806076,St Longory's Well
Q133809285,"St. Columcille & St. Mary's Graveyard Inscriptions Inistioge, Co. Kilkenny"
Q133861840,Q133861840
Q133861888,Q133861888
Q134511675,Coum
Q134720267,Q134720267
Q134720375,Q134720375
Q1365924,mineral spring
Q1371047,holy well
Q15135589,pilgrimage site
Q15238543,Kings River
Q1543947,quern-stone
Q154502,Midsummer
Q15753377,Journal of the Royal Society of Antiquaries of Ireland
Q161511,Crataegus monogyna
Q165479,Saint Patrick
Q16891442,Freneystown
Q16901766,Tiscoffin
Q16933730,Scuithin
Q16970,church building
Q170028,deception
Q1723890,babbling
Q179718,Catherine of Alexandria
Q180231,County Kilkenny
Q184445,County Offaly
Q184469,County Kerry
Q184594,County Waterford
Q18530405,Mo Laga mac Duib Dligid
Q1861954,Inistioge
Q18674069,Lachtín mac Tarbín
Q1909343,dermatophytosis
Q192208,County Londonderry
Q20624137,Ida
Q20830799,first Sunday in August
Q209542,herd
Q2102,snake
Q21077147,eye pain
Q21196,Easter
Q2150,January 1
Q2151232,townland
Q21925570,eye infection
Q2245442,water pump
Q2273,January 21
Q22731,stone
Q2275,January 22
Q2280421,Ciarán of Saigir
Q2286,January 29
Q22909518,Tibberaghny
Q2312,February 1
Q2323,February 8
Q2333,February 13
Q236326,Columba
Q23640,head
Q2419830,Lorcán Ua Tuathail
Q250370,Brendan of Birr
Q2531,April 25
Q25469578,local knowledge
Q2547,May 3
Q2584,May 24
Q26,Northern Ireland
Q2618,June 9
Q2659,June 29
Q2665,June 24
Q2668,June 23
Q2695,July 6
Q2697141,Saint Colman
Q27,Ireland
Q27139372,Kilbraghan
Q2720,July 25
Q2774,August 15
Q2818,August 30
Q28224604,Gowran
Q2828,August 22
Q2846,September 15
Q29182,bishop
Q2927,October 11
Q2956,October 27
Q297742,Margaret the Virgin
Q2992,November 6
Q3053971,Enda of Aran
Q30589034,Kells
Q3072671,Fintan
Q3308470,Killamery
Q331697,Saint David
Q345,Mary
Q35805,cough
Q37090,Holy Trinity
Q3778145,fulacht fiadh
Q380356,True Cross
Q39050811,Kilmocar
Q404099,Máedóc of Ferns
Q40558,smithy
Q40662,John the Baptist
Q4160459,Johnswell
Q4222952,Clara
Q42603,priest
Q4300418,Mo Ling
Q4301754,Moninne
Q43399,Andrew the Apostle
Q43483,water well
Q43999,"St. James the Elder, Apostle"
Q4421,forest
Q44269,Saint Nicholas
Q446013,pumping station
Q4483352,Féchín of Fore
Q45581,Archangel Michael
Q466428,Philomena
Q47521,stream
Q47524436,swimming area
Q48998249,Red Book of Ossory
Q4927045,Luke
Q51203049,last Friday in July
Q51203119,last Sunday in August
Q51638,Feast of the Ascension
Q5202676,Cín Lae Amhlaoibh
Q541946,Trinity Sunday
Q548320,friar
Q55020794,National Inventory of Architectural Heritage database
Q55299,County Laois
Q558148,Leonard of Noblac
Q56557591,preserved
Q56986634,Bruce D Misstear
Q59419933,Shillelogher
Q59719801,Templeorum
Q59719871,Kilkenny Rural
Q59719925,Goresbridge
Q59719937,Kilfane
Q59719966,Thomastown
Q60552531,Aghaviller
Q60552557,Aglish
Q60553245,Aharney
Q60553341,Attanagh
Q60553357,Balleen
Q60553364,Ballinamara
Q60553414,Ballycallan
Q60553548,Ballytobin
Q60553592,Blanchvilleskill
Q60553607,Borrismore
Q60553644,Burnchurch
Q60553663,Callan
Q60553710,Castlecomer
Q60553754,Clara
Q60553771,Clomantagh
Q60553777,Clonamery
Q60553832,Clonmore
Q60553880,Columbkille
Q60553891,Coolaghmore
Q60553893,Coolcashin
Q60553894,Coolcraheen
Q60553962,Danesfort
Q60554020,Donaghmore
Q60554184,Dunmore
Q60554190,Dunnamaggan
Q60554207,Dysartmoon
Q60554214,Earlstown
Q60554236,Ennisnag
Q60554237,Erke
Q60554288,Fiddown
Q60554307,Freshford
Q60554348,Glashare
Q60554376,Gowran
Q60554378,Graiguenamanagh
Q60554413,Grangemaccomb
Q60554418,Grangesilvia
Q60554507,Inistioge
Q60554519,Jerpointchurch
Q60554520,Jerpointwest
Q60554528,Kells
Q60554626,Kilcolumb
Q60554707,Kilfane
Q60554717,Kilferagh
Q60554958,Kilkeasy
Q60554973,Kilkieran
Q60554999,Killahy
Q60555010,Killaloe
Q60555011,Killamery
Q60555206,Kilmacow
Q60555223,Kilmadum
Q60555225,Kilmaganny
Q60555233,Kilmakevoge
Q60555245,Kilmanagh
Q60555608,Knocktopher
Q60555755,Listerlin
Q60555866,Mallardstown
Q60555894,Mayne
Q60556096,Muckalee
Q60556262,Owning
Q60556288,Pollrone
Q60556294,Portnascully
Q60556298,Powerstown
Q60556343,Rathbeagh
Q60556356,Rathcoole
Q60556394,Rathlogan
Q60556421,Rathpatrick
Q60556473,Rosbercon
Q60556526,Saint Canice
Q60556542,Saint John's
Q60556572,Saint Martin's
Q60556627,Saint Patrick's
Q60556683,Shanbogh
Q60556696,Sheffin
Q60557099,The Rower
Q60557159,Tubbrid
Q60557162,Tubbridbritain
Q60557167,Tullaghanbrogue
Q60557175,Tullaherin
Q60557176,Tullahought
Q60557178,Tullamaine
Q60557179,Tullaroan
Q60557210,Ullard
Q60557215,Urlingford
Q60557241,Whitechurch
Q622223,Finan of Lindisfarne
Q63065035,abandoned
Q6407043,Kilkenny People
Q64077931,Old Kilkenny Review
Q64735653,William Kinsella
Q65347908,Feast of the Assumption of Mary
Q6686215,Loughman
Q676555,Francis of Assisi
Q7242,beauty
Q7269966,Leix
Q7364,eye
Q7386467,Ríoch
Q738988,Ciarán of Clonmacnoise
Q7401223,Saint Fachanan
Q7401926,Moluag
Q7852138,Tullaherin
Q8018,Augustine of Hippo
Q80979,Brigid of Kildare
Q811979,architectural structure
Q839954,archaeological site
Q86,headache
Q873607,Roman Catholic Diocese of Ossory
Q92383,ringfort
Q944588,slope
Q94928901,local knowledge
Q953927,Fiacre
